Particulars,Frequency,Unit, 3-1993, 3-1994, 3-1995, 3-1996, 3-1997, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012, 3-2013, 3-2014
Agricultural Production Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.36282,208.6016,217.28212,230.77504,234.4661774,218.107372,244.4918091,259.2862533,257.13,264.3806
Agricultural Production Foodgrains Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.30942,109.8734,110.57622,120.95724,118.1385774,103.954032,120.8531911,131.2748125,128.07,129.3686
Agricultural Production Foodgrains Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.0534,98.7282,106.7059,109.8178,116.3276,114.15334,123.638618,128.0114408,129.06,135.012
Agricultural Production Foodgrains Rice,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.1317,91.7934,93.3553,96.6929,99.1825,89.092901,95.97981924,105.3011,105.24,106.2872
Agricultural Production Foodgrains Rice Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.23,78.2719,80.1708,82.6594,84.9082,75.91651,80.65124114,92.7807,92.37,92.0093
Agricultural Production Foodgrains Rice Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9017,13.5215,13.1845,14.0335,14.2743,13.176391,15.3285781,12.5204,12.87,14.2779
Agricultural Production Foodgrains Wheat Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.6369,69.3545,75.8067,78.5702,80.6794,80.803558,86.873953,94.8820629,93.51,95.8492
Agricultural Production Foodgrains Jowar,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2443,7.6296,7.1508,7.9259,7.2456,6.698203,7.003147,5.979153,5.28,5.2467
Agricultural Production Foodgrains Jowar Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0444,4.0716,3.7068,4.1149,3.0519,2.763233,3.439147,3.293,2.84,2.2292
Agricultural Production Foodgrains Jowar Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1999,3.558,3.444,3.811,4.1937,3.93497,3.564,2.686153,2.44,3.0175
Agricultural Production Foodgrains Bajra Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9313,7.684,8.4237,9.9701,8.8871,6.506412,10.3699094,10.2760195,8.74,9.1855
Agricultural Production Foodgrains Maize,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.172,14.7099,15.097,18.9554,19.7314,16.719467,21.725752,21.759372,22.26,24.1909
Agricultural Production Foodgrains Maize Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4764,12.1559,11.5563,15.1067,14.1205,12.293291,16.6373746,16.48628,16.19,17.5056
Agricultural Production Foodgrains Maize Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6956,2.554,3.5407,3.8487,5.6109,4.426176,5.0883774,5.273092,6.06,6.6853
Agricultural Production Foodgrains Ragi Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4324,2.3536,1.4436,2.1522,2.0399,1.888462,2.193451,1.929242,1.57,1.8775
Agricultural Production Foodgrains Small Millets Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47762,0.4716,0.4796,0.5507,0.4448,0.381922,0.441967,0.45153,0.44,0.4454
Agricultural Production Foodgrains Barley Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2071,1.2206,1.3279,1.1961,1.6891,1.354658,1.662865,1.61865,1.75,1.7303
Agricultural Production Foodgrains Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.46472,34.0693,33.9226,40.7504,40.0379,33.549124,43.3970914,42.0139665,40.04,42.6763
Agricultural Production Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.36212,26.7367,25.61,31.8946,28.5442,23.83332,33.081849,32.4360715,29.79,31.2432
Agricultural Production Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1026,7.3326,8.3126,8.8558,11.4937,9.715804,10.3152424,9.577895,10.25,11.4331
Agricultural Production Foodgrains Cereals,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.23332,195.2172,203.0846,216.0135,219.8998,203.445583,226.2508636,242.1971294,238.79,244.8127
Agricultural Production Foodgrains Cereals Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.59212,105.0086,105.7808,114.554,113.4524,99.74983,113.7330901,125.2167715,122.16,123.2525
Agricultural Production Foodgrains Cereals Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6412,90.2086,97.3038,101.4595,106.4474,103.695753,112.5177735,116.9803579,116.63,121.5602
Agricultural Production Foodgrains Tur Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3469,2.738,2.3141,3.07594,2.2655,2.464552,2.86112,2.654046,3.02,3.3822
Agricultural Production Foodgrains Other Kharif Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6118,0.5443,0.70402,0.9555,0.79763636,0.48519393,1.32841646,0.930795,0.62,0.6692
Agricultural Production Foodgrains Gram Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4694,5.5999,6.3337,5.7486,7.0602,7.475903,8.221091,7.702324,8.83,9.9253
Agricultural Production Foodgrains Other Kharif Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.317,2.3109,2.2878,2.0017,2.2337,2.30803757,2.27046883,2.4013589,2.73,2.6899
Agricultural Production Foodgrains Pulses,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1295,13.3844,14.19752,14.76154,14.56637744,14.661789,18.2409455,17.0891239,18.34,19.5679
Agricultural Production Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7173,4.8648,4.79542,6.40324,4.68617744,4.204202,7.120101,6.058041,5.91,6.1161
Agricultural Production Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4122,8.5196,9.4021,8.3583,9.8802,10.457587,11.1208445,11.0310829,12.43,13.4518
Agricultural Production Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3535,27.9779,24.2894,29.7553,27.718952,24.881624,32.478956,29.7986417,30.943,32.4143
Agricultural Production Oilseeds Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1492,16.767,14.0121,20.7134,17.807969,15.728429,21.922022,20.691064,20.791,22.1366
Agricultural Production Oilseeds Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2043,11.2109,10.2773,9.0419,9.910983,9.153195,10.556934,9.1075777,10.152,10.2777
Agricultural Production Oilseeds Groundnut,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7744,7.9933,4.8635,9.1825,7.1681,5.428493,8.264782,6.963712,4.695,9.4715
Agricultural Production Oilseeds Groundnut Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2621,6.2979,3.2942,7.3624,5.6171,3.852216,6.642767,5.12691,3.187,7.6557
Agricultural Production Oilseeds Groundnut Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5123,1.6954,1.5693,1.8201,1.551,1.576277,1.622015,1.836802,1.508,1.8158
Agricultural Production Oilseeds Castorseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7934,0.9907,0.7623,1.0536,1.171059,1.008951,1.350324,2.29491,1.964,1.6438
Agricultural Production Oilseeds Sesamun Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6741,0.6411,0.6184,0.7569,0.6403,0.588419,0.892995,0.810264,0.685,0.6361
Agricultural Production Oilseeds Nigerseed Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1122,0.108,0.1209,0.1095,0.11698,0.099936,0.107709,0.098084,0.102,0.0875
Agricultural Production Oilseeds Rapeseed and Mustard Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5931,8.1312,7.4378,5.8336,7.2007,6.608079,8.17871,6.6037357,8.029,7.8289
Agricultural Production Oilseeds Linseed Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1697,0.1725,0.1679,0.1634,0.169183,0.153703,0.146544,0.152456,0.149,0.1409
Agricultural Production Oilseeds Safflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1736,0.2286,0.2403,0.2245,0.1892,0.178822,0.150432,0.145331,0.109,0.1159
Agricultural Production Oilseeds Sunflower,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1867,1.439,1.2275,1.4631,1.158,0.850744,0.651063,0.516636,0.544,0.5417
Agricultural Production Oilseeds Sunflower Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4311,0.4558,0.3655,0.4628,0.3571,0.21443,0.19183,0.147383,0.187,0.1655
Agricultural Production Oilseeds Sunflower Rabi,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7556,0.9832,0.862,1.0003,0.8009,0.636314,0.459233,0.369253,0.357,0.3762
Agricultural Production Oilseeds Soyabean Kharif,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8763,8.2735,8.8508,10.9682,9.90543,9.964477,12.736397,12.213513,14.666,11.948
Agricultural Production Commercial Crops Cotton,"Annual, Ending mar Of Each Year",Bale mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4286,18.499,22.6318,25.8841,22.2762,24.021803,33,35.2,34.22,36.5
Agricultural Production Commercial Crops Jute,"Annual, Ending mar Of Each Year",Bale mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3993,9.97,10.3171,10.2201,9.6344,11.230374,10.009412,10.73564,10.34,10.821
Agricultural Production Commercial Crops Mesta,"Annual, Ending mar Of Each Year",Bale mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.873,0.8701,0.9559,0.9904,0.7309,0.587028,0.610752,0.66298,0.59,0.5795
Agricultural Production Commercial Crops Jute and Mesta,"Annual, Ending mar Of Each Year",Bale mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2723,10.8396,11.273,11.2105,10.3653,11.817402,10.620164,11.39862,10.93,11.4005
Agricultural Production Commercial Crops Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.0884,281.1718,355.5197,348.1879,285.0293,292.301617,342.3815552,361.036576,341.2,348.384
Agricultural Production Plantation Crops Potato,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,23.61,24.7,22.5,23.9,23.3,23.1,23.6,23.9,22.2,28.5,NA,NA,NA,NA,NA,NA
Agricultural Production Plantation Crops Onion,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,4.18,3.62,5.33,4.9,4.55,4.83,4.21,5.92,6.43,8.68,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Production Plantation Crops Tobacco,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,0.62,0.64,0.74,0.52,0.34,0.55,0.5,0.54,0.55,0.55,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Production Plantation Crops Coconut,"Annual, Ending mar Of Each Year",Unit mn,NA,NA,NA,NA,13061,12717,12536,12129,12597,12963,12535,12178,12833,14811,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Production Plantation Crops Cashewnut,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,0.418,0.43,0.36,0.46,0.52,0.45,0.47,0.5,0.535,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Production Major Crops Target Rice,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,93.5,87.8,92.8,93,97,100.5,102,102,104,NA
Agricultural Production Major Crops Target Wheat,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,79.5,75.53,75.53,75.5,78.5,79,82,84,88,NA
Agricultural Production Major Crops Target Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,36.8,36.52,36.52,37.5,42,43.1,44,42,44,NA
Agricultural Production Major Crops Target Pulses,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15.3,15.15,15.15,15.5,15.5,16.5,16.5,17,18.24,NA
Agricultural Production Major Crops Target Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,225.1,215,220,221.5,233,239.1,244.5,245,254.24,NA
Agricultural Production Major Crops Target Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,26.2,26.58,29.4,30,31.75,31.6,33.2,33.6,33.5,NA
Agricultural Production Major Crops Target Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,270,237.5,270,310,340,340,315,350,352,NA
Agricultural Production Major Crops Target Cotton,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,16.5,18.5,22,26,26,26,34,35,NA
Agricultural Production Major Crops Target Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11.8,11.28,11.28,11,11,11.2,11.5,12.3,12,NA
Agricultural Production Major Crops Achievements Rice,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.53,83.13,91.79,93.35,96.69,99.18,89.09,95.98,104.32,104.4,NA
Agricultural Production Major Crops Achievements Wheat,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.15,68.64,69.35,75.81,78.57,80.68,80.8,86.87,93.9,92.46,NA
Agricultural Production Major Crops Achievements Coarse Cereals,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,33.46,34.06,33.92,40.76,40.03,33.55,43.68,42.01,40.06,NA
Agricultural Production Major Crops Achievements Pulses,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.91,13.13,13.39,14.2,14.76,14.57,14.66,18.24,17.21,18.45,NA
Agricultural Production Major Crops Achievements Foodgrains,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.19,198.36,208.59,217.28,230.78,234.47,218.11,244.78,257.44,255.36,NA
Agricultural Production Major Crops Achievements Oilseeds,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.19,24.35,27.98,24.29,29.76,27.72,24.88,32.48,30.01,31.01,NA
Agricultural Production Major Crops Achievements Sugarcane,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.86,237.09,281.17,355.52,348.19,285.03,292.3,342.38,357.67,338.96,NA
Agricultural Production Major Crops Achievements Cotton,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.73,16.43,18.5,22.63,25.88,22.28,24.02,33,35.2,34,NA
Agricultural Production Major Crops Achievements Jute and Mesta,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.17,10.27,10.84,11.27,11.21,10.37,11.82,10.62,11.57,11.3,NA
Agricultural Production Area,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.08,121.6,123.71,124.07,122.85,121.34,126.67,124.75,120.8,126.2
Agricultural Production Volume,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.19,198.36,208.6,217.28,230.78,234.47,218.11,244.5,259.29,255.36,NA
Agricultural Production Yield,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1652,1715,1756,1860,1909,1798,1930,2078,2128,2095
Agricultural Production Kharif Area,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.26,72.72,72.67,73.58,71.45,69.51,72.42,72.08,67.7,69.4
Agricultural Production Kharif Volume,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,103.31,109.87,110.58,121,118.18,104,120.9,131.27,128.2,NA
Agricultural Production Kharif Yield,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430,1511,1522,1644,1654,1496,1669,1822,1892,1864
Agricultural Production Rabi Area,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.82,48.88,51.04,50.49,51.39,51.83,54.25,52.67,53.1,56.8
Agricultural Production Rabi Volume,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.19,95.05,98.73,106.71,109.77,116.28,114.11,123.6,128.01,127.16,NA
Agricultural Production Rabi Yield,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,2020,2091,2174,2263,2202,2278,2430,2431,2378
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Total,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,120.8,120.8,120.35,120.54,122.58,122.46,122.71,123.74,123.93,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1,72.7,73.3,72.64,72.33,73.33,72.53,71.97,71.94,71.81,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,48.1,47.5,47.71,48.21,49.25,49.93,50.74,51.8,52.13,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,29,29.4,29.08,28.91,29.22,28.54,28.28,28.15,27.67,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,22.5,22.9,22.65,22.55,22.96,22.22,21.97,21.86,21.51,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,6.5,6.5,6.43,6.36,6.25,6.32,6.31,6.29,6.16,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,43.9,43.7,42.85,42.63,43.18,43.77,43.77,43.61,43.65,NA,NA
Agricultural Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,39.9,39.9,39.12,38.91,39.2,39.51,39.36,39.11,39.22,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,4,3.8,3.73,3.72,3.98,4.26,4.41,4.5,4.43,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4,26.4,26.3,26.2,26.53,27.1,27.33,27.75,28.26,28.64,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9.8,9.7,9.24,8.97,8.67,8.31,8.05,7.79,7.34,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4.7,4.6,4.21,4.06,3.91,3.6,3.43,3.29,3.06,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,5.1,5.1,5.03,4.91,4.75,4.71,4.62,4.5,4.28,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9,9.3,9.34,9.33,9.7,9.33,9.26,9.27,9.12,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6.5,6.7,7.12,7.38,7.67,7.84,8.01,8.2,8.38,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,5.8,6,6.37,6.58,6.8,6.87,6.96,7.06,7.15,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.7,0.7,0.75,0.8,0.87,0.97,1.05,1.14,1.23,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Total,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21.4,21.5,22.22,22.46,23.09,22.81,22.92,23.73,23.97,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,10.2,10.6,10.87,10.86,11.17,10.79,10.65,10.98,11.08,NA,NA
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,11.2,10.9,11.35,11.6,11.92,12.02,12.27,12.75,12.9,NA,NA
