Particulars,Frequency,Unit, 3-1993, 3-1994, 3-1995, 3-1996, 3-1997, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012, 3-2013, 3-2014
Agricultural Production Foodgrains Volume Orissa,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1569,6.8897,7.3597,7.3447,8.1433,7.3991,7.5531,7.62,6.41,8.35,NA
Agricultural Production Foodgrains Volume Punjab,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7294,25.6707,25.1842,25.3131,26.8153,27.3298,26.95,27.87,28.39,28.07,NA
Agricultural Production Foodgrains Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9938,2.1508,11.445,14.2088,16.0587,16.6802,12.3501,18.83,19.47,18.03,NA
Agricultural Production Foodgrains Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4066,6.1758,6.1272,8.263,6.5823,7.1023,7.5114,7.59,10.15,6.29,NA
Agricultural Production Foodgrains Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2465,37.8363,40.4102,41.2145,42.0948,46.7293,43.1953,47.25,50.28,50.84,NA
Agricultural Production Foodgrains Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.724,1.761,1.594,1.735,1.796,1.765,1.796,1.82,1.85,1.8,NA
Agricultural Production Foodgrains Volume West Bengal,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0097,16.0554,15.6089,15.9745,16.0502,16.2956,15.7416,14.47,15.99,16.51,NA
Agricultural Production Foodgrains Volume Others,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,5.29,6.05,5.45,NA,6.25,5.94,NA,NA,6.3125,5.3518,6.75,6.77,6.64,NA
Agricultural Production Foodgrains Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,2138,2365,2231,2613,2744,2294,2530,2519,2616,NA
Agricultural Production Foodgrains Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1472,1405,1416,1286,1378,1551,1662,1763,1704,1889,NA
Agricultural Production Foodgrains Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1601,1192,1311,1656,1546,1766,1530,1479,2098,2329,NA
Agricultural Production Foodgrains Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1231,979,1111,1148,1238,1041,1008,1424,1384,1514,NA
Agricultural Production Foodgrains Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629,1412,1551,1423,1831,1595,1560,1843,1874,1990,NA
Agricultural Production Foodgrains Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3068,3092,3045,3393,3420,3388,3383,3526,3879,3698,NA
Agricultural Production Foodgrains Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1490,1234,1073,1550,1709,1720,1330,1257,1798,1861,NA
Agricultural Production Foodgrains Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,954,1388,1776,1289,1548,1511,1377,1684,1629,1472,NA
Agricultural Production Foodgrains Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1248,1131,1130,1167,1069,1168,1285,1162,1510,1657,NA
Agricultural Production Foodgrains Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,836,948,940,1150,1001,1039,1184,1155,1057,NA
Agricultural Production Foodgrains Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1328,1300,1349,1369,1484,1363,1397,1432,1303,1658,NA
Agricultural Production Foodgrains Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3929,4040,3986,1359,4255,4231,4144,4280,4364,4258,NA
Agricultural Production Foodgrains Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1288,1008,919,4017,1180,1263,931,1249,1348,1482,NA
Agricultural Production Foodgrains Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1539,1874,1847,1354,2125,2225,2477,2393,3162,2175,NA
Agricultural Production Foodgrains Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2192,1961,2057,2399,2206,2365,2236,2386,2498,2547,NA
Agricultural Production Foodgrains Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1672,1697,1548,2057,1785,1715,1780,1841,1945,1939,NA
Agricultural Production Foodgrains Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2421,2479,2423,1760,2525,2493,2522,2601,2645,2711,NA
Agricultural Production Foodgrains Rice Area,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.91,43.66,43.81,43.91,45.54,41.92,42.86,44.01,42.8,43.9
Agricultural Production Foodgrains Rice Volume,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.53,83.13,91.79,93.36,96.69,99.18,89.09,95.98,105.3,104.4,NA
Agricultural Production Foodgrains Rice Yield,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1984,2102,2131,2202,2178,2125,2239,2393,2462,2419
Agricultural Production Foodgrains Rice Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,3.09,3.98,3.98,3.98,4.39,3.441,4.751,4.1,3.49,NA
Agricultural Production Foodgrains Rice Area Assam,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,2.38,2.42,2.19,2.32,2.48,2.4958,2.57,2.54,2.24,NA
Agricultural Production Foodgrains Rice Area Bihar,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,3.12,3.25,3.36,3.57,3.5,3.2137,2.833,3.32,3.25,NA
Agricultural Production Foodgrains Rice Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.72,3.75,3.75,3.72,3.75,3.73,3.6707,3.703,3.77,3.78,NA
Agricultural Production Foodgrains Rice Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.69,0.67,0.73,0.76,0.75,0.679,0.808,0.84,0.7,NA
Agricultural Production Foodgrains Rice Area Haryana,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,1.03,1.05,1.04,1.08,1.21,1.205,1.245,1.24,1.22,NA
Agricultural Production Foodgrains Rice Area Jharkland,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,1.29,1.35,1.62,1.65,1.68,0.995,0.72,1.47,1.35,NA
Agricultural Production Foodgrains Rice Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,1.31,1.49,1.4,1.42,1.51,1.487,1.54,1.42,1.27,NA
Agricultural Production Foodgrains Rice Area Kerala,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,0.29,0.28,0.26,0.23,0.23,0.234,0.213,0.21,0.2,NA
Agricultural Production Foodgrains Rice Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,1.62,1.66,1.66,1.56,1.68,1.4457,1.603,1.66,1.88,NA
Agricultural Production Foodgrains Rice Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,1.52,1.52,1.53,1.57,1.52,1.47,1.518,1.54,1.55,NA
Agricultural Production Foodgrains Rice Area Orissa,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.47,4.48,4.45,4.45,4.45,4.3651,4.226,4,4.03,NA
Agricultural Production Foodgrains Rice Area Punjab,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,2.65,2.64,2.62,2.61,2.74,2.802,2.831,2.82,2.85,NA
Agricultural Production Foodgrains Rice Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.87,2.05,1.93,1.79,1.93,1.8455,1.906,1.9,1.58,NA
Agricultural Production Foodgrains Rice Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,5.34,5.58,5.92,5.71,6.03,5.1867,5.657,5.95,5.86,NA
Agricultural Production Foodgrains Rice Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86,5.78,5.78,5.69,5.72,5.94,5.6301,4.944,5.43,5.43,NA
Agricultural Production Foodgrains Rice Area Others,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68,1.71,1.71,1.71,1.74,1.75,1.7521,1.7952,1.8,1.73,NA
Agricultural Production Foodgrains Rice Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8953,9601,11704,11872,13324,14241,10538,14418,12900,10910,NA
Agricultural Production Foodgrains Rice Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.6,152.5,154.6,135,146.2,146.2,158.1,163.9,215.8,234,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Assam,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880,3470.7,3552.5,2916,3319,4008.5,4335.8,4737,4520,4560,NA
Agricultural Production Foodgrains Rice Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5447.8,2472.2,3495.5,4989.3,4418.1,5590.3,3599.3,3102,7160,7340,NA
Agricultural Production Foodgrains Rice Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5567.6,4383.3,5011.6,5041.4,5426.6,4391.8,4110.4,6159,6030,6610,NA
Agricultural Production Foodgrains Rice Volume Goa,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.5,134.8,170.7,145.2,147.3,130.3,121.6,123.3,100.6,115,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1277,1238.2,1298,1390,1474,1303,1292,1497,1790,1500,NA
Agricultural Production Foodgrains Rice Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2790,3023,3210,3371,3613,3298,3625,3472,3760,3980,NA
Agricultural Production Foodgrains Rice Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.6,122,112.1,123.5,121.5,118.3,105.9,129,131.6,134.3,NA
Agricultural Production Foodgrains Rice Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.2,492.2,556.8,554,561.3,563.1,497.4,508,544.7,545.6,NA
Agricultural Production Foodgrains Rice Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2310,1677,1558,2967.8,3336.4,3420.2,1538.4,1110,3130,3030,NA
Agricultural Production Foodgrains Rice Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2550.3,3547,5744,3446,3717,3802,3691,4188,3960,3280,NA
Agricultural Production Foodgrains Rice Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,570,667.1,629.9,631,528.5,590.3,598.3,523,570,530,NA
Agricultural Production Foodgrains Rice Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750.3,1169,1656.3,1368.4,1461.9,1559.7,1260.6,1772,2230,2780,NA
Agricultural Production Foodgrains Rice Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2835,2164,2695,2569,2996,2284,2183,2696,2840,3040,NA
Agricultural Production Foodgrains Rice Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,387.3,332.6,381.2,435.9,388.1,386.1,406.2,397,319.9,522,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,190.9,200.7,193.7,151.9,200.2,200,203.9,206.7,206.7,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.7,109.2,114.6,104.1,99.2,29.5,15.7,46,44.4,47,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,237.3,225,248,259.8,263.1,263.5,290.6,345.1,240.3,381,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6733.7,6466,6859,6824.7,7540.7,6812.7,6917.5,6828,6830,7640,NA
Agricultural Production Foodgrains Rice Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9656,10437,10193,10138,10489,11000,11236,10837,10540,11370,NA
Agricultural Production Foodgrains Rice Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.8,150.4,153,169.8,259.6,241.1,228.3,266,253.4,222.5,NA
Agricultural Production Foodgrains Rice Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,21.2,21.2,21.6,21.5,21.5,22.9,21.7,24.3,21,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3222.8,5062.2,5220,6610.6,5040.2,5182.7,5665.2,5792,7460,4400,NA
Agricultural Production Foodgrains Rice Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.4,602.3,516.6,545.1,552.9,620.5,624.6,627.1,640,703,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,135.3,135.2,136.6,140,149.1,133.9,131.5,123.1,129.7,NA,NA,NA
Agricultural Production Foodgrains Rice Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13018.8,9555.6,11133.7,11124,11780,13097,10807.1,11992,14020,14410,NA
Agricultural Production Foodgrains Rice Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,572,590,556,593,582,608,550,599,581,NA
Agricultural Production Foodgrains Rice Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14662.3,14884.8,14510.8,14745.9,14719.5,15037.2,14340.7,13046,14610,14960,NA
Agricultural Production Foodgrains Rice Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3009,3111,2939,2984,3344,3246,3062,3036,3146,3126,NA
Agricultural Production Foodgrains Rice Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1534,1460,1468,1332,1428,1614,1737,1844,1780,2036,NA
Agricultural Production Foodgrains Rice Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523,792,1075,1486,1237,1599,1120,1095,2157,2258,NA
Agricultural Production Foodgrains Rice Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1454,1170,1337,1354,1446,1176,1120,1665,1599,1749,NA
Agricultural Production Foodgrains Rice Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891,1806,1949,1894,1942,1744,1903,1852,2131,2143,NA
Agricultural Production Foodgrains Rice Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2749,2941,3051,3238,3361,2726,3008,2776,3032,3262,NA
Agricultural Production Foodgrains Rice Yield Jharkland,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1695,1305,1150,1828,2018,2031,1546,1542,2129,2244,NA
Agricultural Production Foodgrains Rice Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2375,2712,3868,2470,2625,2511,2482,2721,2789,2583,NA
Agricultural Production Foodgrains Rice Yield Kerala,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,2301,2284,2390,2310,2519,2557,2476,2714,2650,NA
Agricultural Production Foodgrains Rice Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018,720,999,824,938,927,872,1106,1343,1479,NA
Agricultural Production Foodgrains Rice Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1853,1425,1779,1680,1903,1501,1485,1776,1844,1961,NA
Agricultural Production Foodgrains Rice Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1496,1446,1531,1534,1694,1529,1585,1615,1708,1896,NA
Agricultural Production Foodgrains Rice Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3694,3943,3858,3868,4019,4022,4010,3830,3738,3989,NA
Agricultural Production Foodgrains Rice Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2308,2703,2546,3423,2817,2683,3070,3031,3926,2785,NA
Agricultural Production Foodgrains Rice Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2187,1790,1996,1879,2063,2171,2084,2118,2356,2459,NA
Agricultural Production Foodgrains Rice Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2504,2574,2509,2593,2573,2533,2547,2642,2691,2755,NA
Agricultural Production Foodgrains Wheat Area,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.38,26.48,27.99,28.04,27.75,28.46,29.07,29.86,30,31.3
Agricultural Production Foodgrains Wheat Volume,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.16,68.64,69.35,75.81,78.57,80.68,80.8,86.87,94.88,92.46,NA
Agricultural Production Foodgrains Wheat Yield,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2602,2619,2708,2802,2907,2839,2989,3131,3117,3059
Agricultural Production Foodgrains Wheat Area Assam,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.06,0.05,0.06,0.06,0.05,0.0584,0.045,0.05,0.05,NA
Agricultural Production Foodgrains Wheat Area Bihar,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,2.03,2,2.05,2.16,2.16,2.1933,2.104,2.14,2.22,NA
Agricultural Production Foodgrains Wheat Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0.73,0.92,1.2,1.27,1.09,0.878,1.274,1.35,1.05,NA
Agricultural Production Foodgrains Wheat Area Haryana,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.32,2.3,2.38,2.46,2.46,2.492,2.515,2.52,2.5,NA
Agricultural Production Foodgrains Wheat Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,0.36,0.36,0.36,0.37,0.36,0.3525,0.357,0.36,0.36,NA
Agricultural Production Foodgrains Wheat Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,0.25,0.25,0.26,0.28,0.28,0.2889,0.291,0.3,0.3,NA
Agricultural Production Foodgrains Wheat Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.06,0.06,0.08,0.09,0.1,0.0997,0.096,0.16,0.16,NA
Agricultural Production Foodgrains Wheat Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.24,0.25,0.27,0.28,0.27,0.283,0.255,0.23,0.23,NA
Agricultural Production Foodgrains Wheat Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05,4.14,3.69,3.99,3.74,3.79,4.2759,4.341,4.89,5.3,NA
Agricultural Production Foodgrains Wheat Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67,0.76,0.93,1.23,1.25,1.02,1.081,1.307,0.84,0.59,NA
Agricultural Production Foodgrains Wheat Area Punjab,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44,3.48,3.47,3.47,3.49,3.53,3.522,3.51,3.53,3.52,NA
Agricultural Production Foodgrains Wheat Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.01,2.12,2.56,2.59,2.29,2.3942,2.479,2.94,2.82,NA
Agricultural Production Foodgrains Wheat Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,9,9.16,9.2,9.12,9.51,9.668,9.637,9.73,9.73,NA
Agricultural Production Foodgrains Wheat Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.39,0.4,0.39,0.4,0.4,0.395,0.379,0.37,0.36,NA
Agricultural Production Foodgrains Wheat Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,0.4,0.37,0.35,0.35,0.31,0.3159,0.317,0.32,0.32,NA
Agricultural Production Foodgrains Wheat Area Others,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.15,0.15,0.14,0.13,0.14,0.1592,0.162,0.13,0.14,NA
Agricultural Production Foodgrains Wheat Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,6.3,6.3,8.7,6.1,6.3,5.3,5.2,4.8,6,NA,NA,NA
Agricultural Production Foodgrains Wheat Volume Assam,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,68.1,53.7,67,71,54.6,63.5,53,60,60,NA
