Country Name,Country Code,2010,2011,2012,2013,2014
Afghanistan,AFG,20.6000003815,20.8999996185,19.7000007629,21.1000003815,20.7999992371
Angola,AGO,10.8000001907,10.6999998093,10.6999998093,10.6000003815,10.5
Albania,ALB,25.7999992371,27,28.2999992371,28.7000007629,29.2000007629
Arab World,ARB,25.0222141591,28.1175156719,29.1132120157,29.3353060436,29.7045691168
United Arab Emirates,ARE,9.8000001907,9.8000001907,9.8000001907,9.8999996185,10
Argentina,ARG,19.5,18.7999992371,18.3999996185,19.7000007629,21.2999992371
Armenia,ARM,38.2999992371,38.7000007629,35,32.5,35.0999984741
Australia,AUS,11.3999996185,11.3999996185,11.6999998093,12.1999998093,13.1000003815
Austria,AUT,8.8000001907,8.1999998093,8.6999998093,9.1000003815,9.1999998093
Azerbaijan,AZE,14.6000003815,14.5,14.3000001907,13.3999996185,13.6000003815
Burundi,BDI,10.8000001907,10.8000001907,10.8000001907,10.8000001907,10.6999998093
Belgium,BEL,22.5,18.6000003815,19.7000007629,23.1000003815,23.6000003815
Benin,BEN,2,2,2,1.7999999523,1.7000000477
Burkina Faso,BFA,5.1999998093,5.3000001907,5.1999998093,5.1999998093,5
Bangladesh,BGD,8.1999998093,8.1999998093,8.1999998093,8.8999996185,9.1000003815
Bulgaria,BGR,22.8999996185,25.2000007629,28.2000007629,29.7000007629,25.8999996185
Bahrain,BHR,10.1999998093,11.3999996185,10.5,10.6000003815,10.8999996185
"Bahamas, The",BHS,36,27.2000007629,30.3999996185,30.7999992371,30.1000003815
Bosnia and Herzegovina,BIH,57.2000007629,57.0999984741,61.7000007629,57.4000015259,57.5
Belarus,BLR,13.1999998093,12.5,11.8000001907,12,12
Belize,BLZ,20.8999996185,24.2999992371,26,22.3999996185,22
Bolivia,BOL,6,5.5,5.5,5.0999999046,5.1999998093
Brazil,BRA,17.2000007629,15.1999998093,14.3999996185,14.6999998093,15.1999998093
Barbados,BRB,25.2999992371,25.5,26.5,26.2000007629,26.7999992371
Brunei Darussalam,BRN,10.8999996185,10.8999996185,11,11.3000001907,11.1000003815
Bhutan,BTN,8.3999996185,8.3999996185,6.4000000954,10.3999996185,10
Botswana,BWA,33,33.2000007629,33.2999992371,32.7999992371,33.9000015259
Central African Republic,CAF,10.8000001907,10.8000001907,10.6999998093,12,11.8999996185
Canada,CAN,14.8000001907,14.1000003815,14.3000001907,13.8000001907,13.3999996185
Central Europe and the Baltics,CEB,24.5585104398,25.4807708113,26.3224709199,26.7754589605,24.3267351826
Switzerland,CHE,7.6999998093,7.5999999046,8.5,8.8000001907,8.6999998093
Chile,CHL,18.6000003815,17.6000003815,16.2000007629,16.1000003815,16.3999996185
China,CHN,9,9.3000001907,9.6999998093,10.1000003815,10.5
Cote d'Ivoire,CIV,6.1999998093,6.3000001907,6,6,5.8000001907
Cameroon,CMR,6.4000000954,6.4000000954,6.4000000954,6.3000001907,6.6999998093
"Congo, Rep.",COG,10.6000003815,10.8000001907,10.8000001907,10.8000001907,10.6999998093
Colombia,COL,24.2999992371,23.2000007629,20.6000003815,16.8999996185,18.8999996185
Comoros,COM,10.6000003815,10.6000003815,10.5,10.5,10.6000003815
Cabo Verde,CPV,18.2000007629,18.1000003815,18.2999992371,18.2999992371,18.7999992371
Costa Rica,CRI,17,17,18.7999992371,19.8999996185,19.2000007629
Caribbean small states,CSS,25.004049807,23.8588269577,25.9775735547,26.4774603156,24.5967753715
Cuba,CUB,6.0999999046,6.6999998093,6.8000001907,6.9000000954,7.0999999046
Cyprus,CYP,16,21.3999996185,26.7999992371,36.9000015259,35.7000007629
Czech Republic,CZE,18.5,17.8999996185,19.6000003815,18.8999996185,16.7000007629
Germany,DEU,9.6999998093,8.3999996185,8.1000003815,7.8000001907,7.5999999046
Denmark,DNK,14.1000003815,14.3000001907,14.1000003815,13,12.3999996185
Dominican Republic,DOM,25.2999992371,30,30.8999996185,31.8999996185,31.3999996185
Algeria,DZA,22.2000007629,22.5,26.2999992371,20.3999996185,20
East Asia & Pacific (excluding high income),EAP,11.0018219321,10.6879596678,10.8914205757,11.5114838399,11.7905789249
Early-demographic dividend,EAR,14.2507459309,14.1804193217,14.328332246,14.2231810434,14.3505036316
East Asia & Pacific,EAS,10.9251296105,10.5861371093,10.7546950254,11.2969454042,11.570404903
Europe & Central Asia (excluding high income),ECA,19.2243398817,18.3308470973,17.8410419476,17.2950161076,17.2492839678
Europe & Central Asia,ECS,20.4329997585,20.229570078,21.1039424262,21.1832203619,20.8899802535
Ecuador,ECU,11.3000001907,10.6999998093,10.8999996185,9.8000001907,10.8000001907
"Egypt, Arab Rep.",EGY,26.2999992371,33.9000015259,37.9000015259,41.7000007629,42
Euro area,EMU,22.3871307255,22.9145776032,25.8080948858,26.9388896771,27.5839459839
Eritrea,ERI,10.8000001907,10.6000003815,10.6000003815,10.8000001907,10.8999996185
Spain,ESP,42.5,47.0999984741,54.2999992371,57.0999984741,57.9000015259
Estonia,EST,33.2999992371,22.6000003815,21,18.7000007629,17
Ethiopia,ETH,7.4000000954,7.5,7.9000000954,6.5999999046,7.0999999046
European Union,EUU,22.1585314328,22.7935958464,25.0325857728,25.7172686389,25.1161391909
Fragile and conflict affected situations,FCS,16.1362716232,16.6835495077,16.614889383,16.603434421,16.6622614164
Finland,FIN,20.3999996185,18.8999996185,17.7999992371,19.6000003815,19.2000007629
Fiji,FJI,20.1000003815,20.1000003815,20.2000007629,19.6000003815,18.6000003815
France,FRA,22.6000003815,21.8999996185,23.7999992371,23.7000007629,23.8999996185
Gabon,GAB,34.5,34.5,34.5999984741,35.7000007629,35.5
United Kingdom,GBR,19.6000003815,20.1000003815,21.3999996185,20.2999992371,16.7000007629
Georgia,GEO,36.7999992371,36.5999984741,33.7999992371,35.7000007629,34.0999984741
Ghana,GHA,11.3999996185,9.3999996185,7.4000000954,1.8999999762,3.2999999523
Guinea,GIN,1.8999999762,1.3999999762,1.3999999762,1.5,1.7000000477
"Gambia, The",GMB,10.6999998093,11.1000003815,10.6999998093,10.6999998093,10.6000003815
Guinea-Bissau,GNB,10.6999998093,10.6000003815,11,11,11.1000003815
Equatorial Guinea,GNQ,10.8000001907,10.6000003815,10.6999998093,11,12.6000003815
Greece,GRC,32.4000015259,44.0999984741,54.7000007629,58,53.9000015259
Guatemala,GTM,5.6999998093,7.4000000954,5.5999999046,5.6999998093,5.4000000954
Guyana,GUY,23.2999992371,22.8999996185,23.1000003815,23.3999996185,23.7999992371
High income,HIC,18.5172039316,18.1841764111,18.6535688815,18.5891129546,17.831891963
"Hong Kong SAR, China",HKG,12.1000003815,9.1999998093,9.3000001907,8.8999996185,8.5
Honduras,HND,9.1000003815,8.3000001907,7.0999999046,6.9000000954,6.9000000954
Heavily indebted poor countries (HIPC),HPC,11.6765798757,11.6318349935,11.488854951,11.0571851449,11.1249198842
Croatia,HRV,33.5,36.5999984741,44.0999984741,50.2999992371,45.9000015259
Haiti,HTI,19.2999992371,16.7000007629,17.2999992371,17,17.1000003815
Hungary,HUN,26.6000003815,26,27.8999996185,27,21
IBRD only,IBD,13.9601670748,13.9902062355,14.2091261158,14.303289811,14.5445281104
IDA & IBRD total,IBT,13.2261609855,13.1978435626,13.3127821382,13.3547722808,13.5311260249
IDA total,IDA,11.2509002585,11.122135384,11.0372710863,11.0279282434,11.1285157019
IDA blend,IDB,10.5468182701,10.247668414,10.1711132437,10.4813534497,10.619027829
Indonesia,IDN,25,21.3999996185,20.2999992371,21.7999992371,21.7999992371
IDA only,IDX,11.6561808941,11.6193877364,11.5225699711,11.329306649,11.4049084151
India,IND,10.1999998093,10.3000001907,10.6999998093,10.3999996185,10.3999996185
Ireland,IRL,28,29.1000003815,30.3999996185,26.7000007629,25.7999992371
"Iran, Islamic Rep.",IRN,28.3999996185,28.3999996185,28.2999992371,28.7999992371,29.3999996185
Iraq,IRQ,32.2999992371,32.4000015259,32.4000015259,32.0999984741,34.5999984741
Iceland,ISL,16.1000003815,14.6000003815,13.3999996185,11.1000003815,10.8999996185
Israel,ISR,13.6000003815,11.6000003815,12.3000001907,10.6999998093,11
Italy,ITA,27.7999992371,29.1000003815,35.2000007629,39.7000007629,44.0999984741
Jamaica,JAM,30,29.5,32.9000015259,35.7000007629,30.5
Jordan,JOR,30.1000003815,31.6000003815,31.2999992371,33.2999992371,28.7999992371
Japan,JPN,9.1000003815,8,7.8000001907,6.8000001907,6.5
Kazakhstan,KAZ,6,5.3000001907,4.5999999046,4.0999999046,3.5
Kenya,KEN,17.1000003815,17.1000003815,17.2999992371,17.2999992371,17.3999996185
Kyrgyz Republic,KGZ,16.6000003815,15.8999996185,16.6000003815,15.3000001907,14.6999998093
Cambodia,KHM,0.8999999762,0.6999999881,0.5,0.6999999881,0.8999999762
"Korea, Rep.",KOR,9.6999998093,9.6999998093,8.8999996185,9.1999998093,10.3999996185
Kuwait,KWT,10.6000003815,21.6000003815,21.1000003815,20.5,19.3999996185
Latin America & Caribbean (excluding high income),LAC,14.9116958523,14.2396892512,13.5186341205,13.212545387,13.8643096497
Lao PDR,LAO,3.2000000477,3.2000000477,3.2999999523,3.2999999523,3.4000000954
Lebanon,LBN,20.8999996185,20.7999992371,20.7999992371,20.2000007629,20.7000007629
Liberia,LBR,5,5,5,4.5999999046,4.5999999046
Libya,LBY,43.7999992371,42.5999984741,46.2000007629,47,48.9000015259
Latin America & Caribbean,LCN,15.1338325658,14.4331485565,13.6953862209,13.3923166452,14.0303396218
Least developed countries: UN classification,LDC,11.4065996768,11.4529094727,11.4318319651,11.4073686823,11.4583220967
Low income,LIC,10.3853771252,10.4210607509,10.4052704834,10.2164079288,10.229319291
Sri Lanka,LKA,18.7999992371,16.8999996185,16.6000003815,18.3999996185,19.1000003815
Lower middle income,LMC,13.061031019,13.1280818499,13.2310228301,13.3207114114,13.3848246193
Low & middle income,LMY,13.1448796395,13.1108294382,13.2285470047,13.2690248166,13.4670080071
Lesotho,LSO,35.5999984741,37.7999992371,36,30.5,33
Late-demographic dividend,LTE,11.5860972485,11.4973497225,11.5680537652,11.8162114064,12.0656138909
Lithuania,LTU,35.2000007629,32,26.2000007629,21.8999996185,21.5
Luxembourg,LUX,14.5,16.7999992371,18.5,19.2000007629,16
Latvia,LVA,34.9000015259,31,28.2999992371,23.1000003815,19.2999992371
"Macao SAR, China",MAC,5.3000001907,5.8000001907,5,3.5,2.9000000954
Morocco,MAR,17.7000007629,17.7999992371,18.5,18.3999996185,20.2000007629
Moldova,MDA,17.7000007629,15.1000003815,13.1000003815,13.5,8.5
Madagascar,MDG,6.1999998093,6.1999998093,6.1999998093,5.5999999046,5.1999998093
Maldives,MDV,25.3999996185,25.5,26.6000003815,26,26.8999996185
Middle East & North Africa,MEA,25.9238864869,28.7121316339,29.6506746376,29.933500029,30.40355258
Mexico,MEX,9.3999996185,10,9.5,9.3999996185,9.8999996185
Middle income,MIC,13.4536770278,13.42221763,13.5683010521,13.6519237268,13.8902045465
"Macedonia, FYR",MKD,53.7000007629,55.4000015259,53.7999992371,51.7999992371,50.7999992371
Mali,MLI,10.3000001907,10.3999996185,10.5,10.5,10.5
Malta,MLT,13.1999998093,14,14.3000001907,14.1000003815,13.6000003815
Myanmar,MMR,9.3999996185,9.3999996185,9.3000001907,9.3000001907,9.5
Middle East & North Africa (excluding high income),MNA,26.5049249555,29.6353922482,30.8900884188,31.2114832522,31.683832911
Montenegro,MNE,46,37.2000007629,41.2999992371,40.5,39.5
Mongolia,MNG,14.1000003815,9,9.6000003815,9.6000003815,9.3000001907
Mozambique,MOZ,40.7000007629,40.7000007629,40.7000007629,40.7000007629,40.7000007629
Mauritania,MRT,46.7000007629,46.7000007629,46.5,46.5999984741,46.5999984741
Mauritius,MUS,23.1000003815,21.7000007629,23.7000007629,21.8999996185,21.2000007629
Malawi,MWI,13.8000001907,13.8999996185,14,13.8999996185,13.8000001907
Malaysia,MYS,11,10,10.1999998093,10.6000003815,6.6999998093
North America,NAC,18.3279230855,17.0869456394,16.2916509649,15.610488135,13.9430995948
Namibia,NAM,44.0999984741,40.0999984741,34.2000007629,40.5999984741,38.7000007629
Niger,NER,7.1999998093,7.3000001907,7.1999998093,7.1999998093,7.0999999046
Nigeria,NGA,13.8000001907,13.8000001907,13.6999998093,13.6000003815,13.6000003815
Nicaragua,NIC,12.3000001907,11.6000003815,10.6000003815,7.6999998093,7.5999999046
Netherlands,NLD,8.8000001907,7.5,9.5,11,11.1000003815
Norway,NOR,9.1999998093,8.6999998093,8.6000003815,9.1000003815,8.3999996185
Nepal,NPL,4,4,4,4,4
New Zealand,NZL,17,17.2000007629,17.7000007629,15.8000001907,14.6000003815
OECD members,OED,17.2466347948,16.7646677229,17.0854436491,16.9238188398,16.4083208222
Oman,OMN,19.2999992371,19,18.7999992371,18.6000003815,18.7999992371
Other small states,OSS,24.2590077378,23.5371739131,22.874889468,23.2118690162,23.3213374422
Pakistan,PAK,8.1999998093,8.1000003815,8.1000003815,8.3000001907,8.6000003815
Panama,PAN,14.8999996185,11.8999996185,10,10.1000003815,11
Peru,PER,9,9.5,8.5,8.6999998093,9.1999998093
Philippines,PHL,16.7999992371,16.1000003815,16.3999996185,16.6000003815,16.3999996185
Papua New Guinea,PNG,5.4000000954,5.3000001907,5.4000000954,5.5,5.4000000954
Poland,POL,23.3999996185,25.5,26.3999996185,27.2000007629,24
Pre-demographic dividend,PRE,13.9968224414,14.0709136192,13.9639987078,13.9281007043,13.9798413255
Puerto Rico,PRI,30.6000003815,30.1000003815,27.3999996185,28.1000003815,27.7999992371
"Korea, Dem. Peopleâ€™s Rep.",PRK,10.1999998093,10.3000001907,10.6999998093,10.6000003815,10.6000003815
Portugal,PRT,22.2999992371,30,37.5999984741,37.7999992371,36.7999992371
Paraguay,PRY,11.8999996185,10.1999998093,10.3999996185,10.5,9.3000001907
Post-demographic dividend,PST,17.7982556316,17.4763049866,18.0182468532,17.8901622731,17.1987833422
Qatar,QAT,1.5,1.7000000477,1.6000000238,1.2000000477,1.2999999523
Romania,ROU,22.2999992371,23.8999996185,22.7999992371,23.7999992371,25.1000003815
Russian Federation,RUS,16.7999992371,15.3000001907,15,14.1000003815,12.8999996185
Rwanda,RWA,0.6999999881,0.6999999881,0.6999999881,0.6999999881,0.6999999881
South Asia,SAS,9.9432927422,9.9950869587,10.2706743646,10.1897166407,10.2511491142
Saudi Arabia,SAU,29.7999992371,30.1000003815,28,28.7000007629,29.5
Sudan,SDN,22.7999992371,22.7000007629,22.7000007629,23,23.2999992371
Senegal,SEN,13,12.3999996185,12.3000001907,13,13
Singapore,SGP,9.8999996185,9.1999998093,9,9,9.6000003815
Solomon Islands,SLB,9.1000003815,8.8999996185,9.3000001907,9.3999996185,9.5
Sierra Leone,SLE,5.0999999046,5.0999999046,5,4.9000000954,4.9000000954
El Salvador,SLV,13,12,11.8999996185,11.1999998093,11.6999998093
Somalia,SOM,10.5,10.5,10.5,10.6000003815,10.6000003815
Serbia,SRB,45.5,50.4000015259,50.5999984741,49.7000007629,49.5
Sub-Saharan Africa (excluding high income),SSA,14.6525288965,14.5239079316,14.5036988421,14.0506041895,14.1242997443
Sub-Saharan Africa,SSF,14.6525288965,14.5239079316,14.5036988421,14.0506041895,14.1242997443
Small states,SST,24.0400469545,23.2682815637,23.1375855695,23.4711215706,23.1944172222
Suriname,SUR,20.7000007629,19,17.3999996185,15.5,17.8999996185
Slovak Republic,SVK,33.7000007629,33.0999984741,33.9000015259,33.5,31.1000003815
Slovenia,SVN,14.6000003815,15.8000001907,20.6000003815,22.7999992371,20.7999992371
Sweden,SWE,25.2000007629,23.2000007629,24.2000007629,23.7999992371,22.7999992371
Swaziland,SWZ,42,42.2000007629,42,42,42.5999984741
Syrian Arab Republic,SYR,19.2999992371,33.7000007629,33.7000007629,32.4000015259,30.1000003815
Chad,TCD,10.3999996185,10.8999996185,10.6000003815,10.6999998093,10.5
East Asia & Pacific (IDA & IBRD countries),TEA,11.0109481038,10.6924834283,10.8937273751,11.5228964301,11.8060540959
Europe & Central Asia (IDA & IBRD countries),TEC,19.6477336533,19.00293831,18.6757055922,18.2843710363,17.9734925612
Togo,TGO,10.8000001907,10.8000001907,10.6999998093,10.6999998093,10.6999998093
Thailand,THA,4,2.9000000954,3.0999999046,3.2000000477,3.9000000954
Tajikistan,TJK,17.2999992371,16.3999996185,15.3999996185,15.6999998093,15.5
Turkmenistan,TKM,20.6000003815,21,20.7000007629,20.6000003815,20.2000007629
Latin America & the Caribbean (IDA & IBRD countries),TLA,15.1664579574,14.4500444763,13.7070499633,13.3918265291,14.0410692882
Middle East & North Africa (IDA & IBRD countries),TMN,26.3688761612,29.5783583422,30.8039497523,31.1058772791,31.5217876817
Timor-Leste,TLS,13.1000003815,12.6000003815,13.3999996185,13.3999996185,14
South Asia (IDA & IBRD),TSA,9.9432927422,9.9950869587,10.2706743646,10.1897166407,10.2511491142
Sub-Saharan Africa (IDA & IBRD countries),TSS,14.6525288965,14.5239079316,14.5036988421,14.0506041895,14.1242997443
Trinidad and Tobago,TTO,14,11.1999998093,12.3999996185,9.1000003815,10.6000003815
Tunisia,TUN,29.3999996185,42.7000007629,32.7999992371,31.2999992371,31.7999992371
Turkey,TUR,21.2000007629,17.8999996185,17.1000003815,16.5,17.7000007629
Tanzania,TZA,5.5999999046,6.5999999046,6,5.3000001907,5.5
Uganda,UGA,7.4000000954,7.4000000954,7.4000000954,7.4000000954,6.8000001907
Ukraine,UKR,17.3999996185,19,17.2999992371,16,16.8999996185
Upper middle income,UMC,13.9180794683,13.7796054369,13.9928119905,14.0862274063,14.5810092338
Uruguay,URY,20.7999992371,17.8999996185,18.5,18.1000003815,19.1000003815
United States,USA,18.7000007629,17.3999996185,16.5,15.8000001907,14
Uzbekistan,UZB,20.6000003815,20.6000003815,20.6000003815,20.5,20.2999992371
"Venezuela, RB",VEN,17.5,17.3999996185,17.1000003815,14.8000001907,17.1000003815
Vietnam,VNM,6.0999999046,5.3000001907,5,6.3000001907,6.3000001907
West Bank and Gaza,PSE,37.7000007629,34.0999984741,37.2999992371,38.7000007629,42.7000007629
World,WLD,13.784956938,13.7146725708,13.8742928945,13.9038319113,13.9871842021
"Yemen, Rep.",YEM,30.2999992371,30,30.2000007629,30.2000007629,29.8999996185
South Africa,ZAF,50.7999992371,50.0999984741,52.2000007629,51.4000015259,52.5999984741
"Congo, Dem. Rep.",COD,12.3000001907,12.3000001907,12.3000001907,12.1999998093,11.8999996185
Zambia,ZMB,26.3999996185,26.6000003815,26.6000003815,25.5,25.1000003815
Zimbabwe,ZWE,9.6000003815,8.3000001907,8.3000001907,8.8999996185,9.3999996185
